@relation Weather

@attribute DateTime date 'yyyy-MM-dd\'T\'HH:mm:ss'
@attribute Tempature numeric
@attribute Humidity numeric
@attribute Preasure numeric
@attribute Description {Clear,'Partly cloudy',Overcast,Drizzle,'Shower In Vicinity','Light Rain Shower, Rain Shower','Light Rain','Patchy rain possible','Light Rain, Mist','Shallow Fog','Patches Of Fog',Mist,Sunny,Fog,'Shallow Fog, Mist',Rain,'Light Rain, Rain','Heavy Drizzle, Rain','Heavy Drizzle, Haze, Light Rain Shower','Rain Shower','Light Rain, Rain Shower','Shower In Vicinity, Rain Shower','Rain, Light Rain Shower, Rain Shower','Light Drizzle','Light Rain Shower','Rain, Light Rain, Rain Shower','Light Drizzle, Rain','Light Drizzle, Rain Shower','Rain, Mist, Light Rain Shower','Rain, Haze, Rain Shower','Rain, Haze','Light Rain, Rain Shower, Heavy Rain','Heavy Rain','Drizzle, Heavy Rain','Light Rain, Heavy Rain','Rain, Heavy Rain','Mist, Heavy Rain Shower','Heavy Rain Shower','Rain With Thunderstorm','Light rain shower','Rain, Light Rain','Shallow Mist','Light Rain, Fog','Shallow Fog, Fog','Rain Shower, Light Rain Shower','Patches Of Fog, Fog','Fog, Mist'}
@attribute Rain numeric
@attribute 'Wind Speed' numeric
@attribute 'Wind Direction ' numeric
@attribute Visibility numeric
@attribute 'Cloud Cover' numeric
@attribute 'Feels Like' numeric
@attribute UV numeric
@attribute 'Outside Temp' numeric

@data
2019-03-19T18:00:38,32,48.5,1022.9,Overcast,0.3,11,10,10,100,21,5,21
2019-03-19T19:00:38,32.1,49.1,1023.2,'Partly cloudy',0.3,9,30,10,75,21,6,21
2019-03-19T20:00:38,32.9,49.6,1023.4,Clear,0.2,9,10,10,0,19,0,19
2019-03-19T21:00:37,32.6,49,1024.1,Clear,0.4,6,360,10,0,19,0,19
2019-03-19T22:00:38,32.1,45.6,1024.8,'Partly cloudy',0.3,6,70,10,50,18,0,18
2019-03-19T23:00:39,30.4,47.4,1025,'Partly cloudy',0.1,9,50,10,75,18,0,18
2019-03-20T00:00:38,29.6,48.5,1025,'Partly cloudy',0.1,9,50,10,75,18,0,18
2019-03-20T01:00:38,29,49.9,1025,'Partly cloudy',0,9,70,10,75,18,0,18
2019-03-20T02:00:39,28.9,47.4,1024.8,Overcast,0,4,60,10,100,18,0,18
2019-03-20T03:00:39,29,47.6,1024.5,'Partly cloudy',0,4,60,10,75,18,0,18
2019-03-20T04:00:41,28.5,48,1024.2,Clear,0,6,130,10,0,18,0,18
2019-03-20T05:00:39,28.2,47.6,1023.9,'Partly cloudy',0,4,130,10,75,17,0,17
2019-03-20T06:00:39,28.1,47.2,1023.6,Overcast,0,4,90,10,100,17,0,17
2019-03-20T07:00:39,28.3,48,1023.9,'Partly cloudy',0,6,130,10,75,17,0,17
2019-03-20T08:00:39,28.3,48,1024.4,Overcast,0,7,120,10,100,18,4,18
2019-03-20T09:00:39,28.5,47.5,1024.8,Overcast,0,7,110,10,100,18,4,18
2019-03-20T10:00:39,28.9,49.6,1025.3,'Partly cloudy',0,7,107,18,17,17,5,17
2019-03-20T11:00:40,29.8,50,1025.3,Overcast,0,11,160,10,100,20,5,20
2019-03-20T12:00:38,30.5,50.6,1025.1,Overcast,0,9,130,10,100,20,5,20
2019-03-20T13:00:39,31.5,49.9,1024.5,'Partly cloudy',0,7,160,10,75,21,6,21
2019-03-20T14:00:38,32.5,47.8,1024.1,'Partly cloudy',0,7,160,10,75,21,6,21
2019-03-20T15:00:38,33.2,46.8,1023.4,Overcast,0,7,220,10,100,25,5,22
2019-03-20T16:00:38,34.1,45.5,1023.1,'Partly cloudy',0,13,210,10,75,25,6,22
2019-03-20T17:00:37,34.4,45.1,1022.9,'Partly cloudy',0.1,13,230,10,25,25,6,23
2019-03-20T18:00:38,34.6,45.6,1023,'Partly cloudy',0.1,13,230,10,25,25,6,23
2019-03-20T19:00:38,34.8,45.5,1023.1,'Partly cloudy',0.1,17,230,10,25,25,6,23
2019-03-20T20:00:39,35,45.8,1023.9,'Partly cloudy',0.2,15,230,10,75,21,0,21
2019-03-20T21:00:39,34.4,45,1024.5,Clear,0.2,11,210,10,0,20,0,20
2019-03-20T22:00:38,33.5,44,1024.8,'Partly cloudy',0.2,6,220,10,75,19,0,19
2019-03-20T23:00:38,31.5,45.2,1025.3,Clear,0.1,6,220,10,0,19,0,19
2019-03-21T00:00:38,30.9,46.1,1025.6,'Partly cloudy',0.1,0,0,10,75,19,0,19
2019-03-21T01:00:39,30.2,46.4,1025.5,'Partly cloudy',0.1,2,240,10,75,18,0,18
2019-03-21T02:00:39,29.7,46.7,1025.4,'Partly cloudy',0.1,6,90,10,25,18,0,18
2019-03-21T03:00:39,29.4,46.1,1025.4,Clear,0,4,80,10,0,17,0,17
2019-03-21T04:00:39,29,44.2,1025.2,Clear,0,2,80,9,0,17,0,17
2019-03-21T05:00:38,28.5,46.1,1024.9,'Shallow Fog',0,0,0,10,0,16,0,16
2019-03-21T06:00:39,28.2,46,1024.8,'Patches Of Fog',0,4,130,3,0,16,0,15
2019-03-21T07:00:39,27.8,47.2,1024.9,Clear,0,4,110,6,0,16,0,15
2019-03-21T08:00:38,27.9,46,1025.7,Mist,0,2,10,5,0,15,4,15
2019-03-21T09:00:39,28.4,45.6,1026,Sunny,0,4,130,10,0,16,5,16
2019-03-21T10:00:39,29.7,46.7,1026.5,Sunny,0,4,140,10,0,19,5,19
2019-03-21T11:00:38,30.9,44.8,1026.7,Sunny,0,4,130,10,0,20,6,20
2019-03-21T12:00:39,32.4,44.6,1026.4,Sunny,0,6,180,10,0,25,6,22
2019-03-21T13:00:40,33.4,42.4,1026.2,'Partly cloudy',0,15,220,10,75,25,6,22
2019-03-21T14:00:40,34.6,42.5,1026,'Partly cloudy',0,15,220,10,75,25,6,22
2019-03-21T15:00:38,35.4,41.5,1025.6,Overcast,0,11,220,10,100,25,5,22
2019-03-21T16:00:38,36.1,41.9,1025.5,Overcast,0,6,210,10,100,25,5,23
2019-03-21T17:00:38,36.1,38.5,1025.2,'Partly cloudy',0,9,30,10,75,25,6,24
2019-03-21T18:00:39,36.1,44,1025.1,'Partly cloudy',0,11,40,10,75,25,6,23
2019-03-21T19:00:38,35.6,42.3,1025.6,'Partly cloudy',0,17,40,10,75,25,6,23
2019-03-21T20:00:38,35.8,41.8,1025.9,'Partly cloudy',0,15,350,10,75,21,0,21
2019-03-21T21:00:39,35.4,43.2,1026.5,'Partly cloudy',0.2,13,340,10,75,21,0,21
2019-03-21T22:00:38,34.5,43.2,1026.7,'Partly cloudy',0.3,9,350,10,25,20,0,20
2019-03-21T23:00:38,33.1,43.7,1027,Clear,0.3,6,310,10,0,19,0,19
2019-03-22T00:00:39,32,43.7,1027.2,'Partly cloudy',0.4,7,310,10,50,19,0,19
2019-03-22T01:00:49,31.5,43.9,1027.4,'Partly cloudy',0.4,4,40,10,75,19,0,19
2019-03-22T02:00:39,31.2,45,1027.3,Overcast,0.4,2,60,10,100,19,0,19
2019-03-22T03:00:39,30.9,45.3,1027,Clear,0,6,10,10,0,18,0,18
2019-03-22T04:00:39,30.4,47.6,1026.7,Clear,0,2,50,10,0,17,0,17
2019-03-22T05:00:39,30.1,45,1026.5,'Partly cloudy',0,0,0,10,75,18,0,18
2019-03-22T06:00:38,29.8,45.4,1026.7,'Partly cloudy',0,4,120,10,75,18,0,18
2019-03-22T07:00:38,30,46.3,1027.1,'Partly cloudy',0,2,20,10,25,17,0,17
2019-03-22T08:00:38,29.5,47.4,1027.5,'Partly cloudy',0,0,0,10,25,17,5,17
2019-03-22T09:00:38,30,46.2,1027.5,'Partly cloudy',0,2,190,10,25,16,5,16
2019-03-22T10:00:38,31.6,47.9,1027.7,'Partly cloudy',0,2,70,10,75,20,6,20
2019-03-22T11:00:38,33,44.2,1027.5,Sunny,0,2,130,10,0,21,6,21
2019-03-22T12:00:39,34.4,44.4,1026.9,'Partly cloudy',0,9,210,10,75,21,6,21
2019-03-22T13:00:39,35.4,41.9,1026.3,Sunny,0.1,9,210,10,0,25,6,22
2019-03-22T14:00:38,35.8,39.7,1025.8,Sunny,0.1,9,210,10,0,25,6,22
2019-03-22T15:00:38,37.1,40.4,1025.2,Sunny,0.1,13,230,10,0,26,6,24
2019-03-22T16:00:38,36.5,40.2,1024.8,Sunny,0.2,17,240,10,0,26,6,24
2019-03-22T17:00:37,36.4,42,1024.4,Sunny,0.2,22,230,10,0,26,6,24
2019-03-22T18:00:37,35.9,43.2,1024.8,'Partly cloudy',0.2,20,230,10,25,25,6,23
2019-03-22T19:00:44,35.4,44.1,1024.8,'Partly cloudy',0.5,17,220,10,75,25,6,22
2019-03-22T20:00:38,34.7,44.5,1024.8,'Partly cloudy',0.6,11,210,10,75,21,0,21
2019-03-22T21:00:37,33.9,43.8,1025.3,Overcast,1.2,11,200,10,100,20,0,20
2019-03-22T22:00:38,33.9,42.6,1025.6,Clear,0.9,6,180,10,0,19,0,19
2019-03-22T23:00:38,32.9,44.7,1025.7,Clear,0.5,6,60,10,0,19,0,19
2019-03-23T00:00:38,31.5,44.4,1025.5,Clear,0,7,20,10,0,18,0,18
2019-03-23T01:00:39,31.1,43.9,1025.5,'Partly cloudy',0,7,30,10,50,18,0,18
2019-03-23T02:00:38,30.7,44.2,1025.3,Clear,0,6,40,10,0,18,0,18
2019-03-23T03:00:38,30.2,44.3,1025,'Partly cloudy',0.1,4,40,10,75,18,0,18
2019-03-23T04:00:39,29.6,44.1,1024.5,Mist,0.1,4,40,5,75,17,0,17
2019-03-23T05:00:39,29.1,41.1,1024.4,'Partly cloudy',0.1,4,60,6,75,17,0,17
2019-03-23T06:00:39,28.7,43.5,1023.9,Fog,0,4,310,0,60,16,0,16
2019-03-23T07:00:38,28.5,46.7,1023.9,Fog,0,4,160,9,100,17,0,17
2019-03-23T08:00:40,28.4,45.8,1024.3,Fog,0,2,150,0,60,17,4,17
2019-03-23T09:00:39,28.6,45.2,1024.5,Fog,0,2,130,0,60,17,4,17
2019-03-23T10:00:38,29.8,45,1024.7,Fog,0,4,130,0,25,17,4,17
2019-03-23T11:00:37,31.4,47.4,1024.4,'Partly cloudy',0,4,190,10,25,19,5,19
2019-03-23T12:00:39,32.4,47.2,1024.1,Sunny,0,6,180,10,0,21,6,21
2019-03-23T13:00:38,33.7,44.7,1023.5,Sunny,0,7,220,10,0,25,6,22
2019-03-23T14:00:37,34.1,44.6,1023.2,Sunny,0,7,220,10,0,25,6,22
2019-03-23T15:00:38,34.1,44.7,1022.8,Sunny,0.1,19,240,10,0,26,6,24
2019-03-23T16:00:38,35.4,42.9,1022.2,'Partly cloudy',0.1,22,230,10,25,26,6,24
2019-03-23T17:00:39,35.9,40.6,1022.2,Sunny,0.1,22,220,10,0,26,6,24
2019-03-23T18:00:38,35.3,41.9,1022.4,Sunny,0.2,20,220,10,0,25,6,23
2019-03-23T19:00:39,35,41.6,1022.5,Sunny,0.2,19,220,10,0,25,6,22
2019-03-23T20:00:39,33.8,42.9,1022.7,Clear,0.2,15,220,10,0,21,0,21
2019-03-23T21:00:38,33.6,42.3,1023.2,Clear,0,11,210,10,0,19,0,19
2019-03-23T22:00:38,32.6,42.8,1023.7,Clear,0,9,200,10,0,18,0,18
2019-03-24T00:00:38,30.9,43.2,1023.6,Clear,0,6,70,10,0,17,0,17
2019-03-24T01:00:38,30.3,43.9,1024,'Partly cloudy',0,6,50,10,25,17,0,17
2019-03-24T02:00:38,29.7,43.5,1023.9,'Partly cloudy',0,6,10,10,50,18,0,18
2019-03-24T03:00:38,29.3,44.6,1023.7,'Partly cloudy',0,2,20,10,50,17,0,17
2019-03-24T04:00:38,29.2,44.1,1023.5,'Partly cloudy',0,2,30,10,75,17,0,17
2019-03-24T05:00:38,28.8,44.9,1023,Clear,0,4,60,10,0,16,0,16
2019-03-24T06:00:38,28.6,44.6,1023.2,'Shallow Fog, Mist',0,2,80,2,75,15,0,15
2019-03-24T07:00:38,28.5,44.4,1023.5,Mist,0,0,0,10,0,16,0,16
2019-03-24T08:00:37,27.8,45.3,1024,Mist,0,2,80,10,75,15,4,15
2019-03-24T09:00:37,28.1,44.8,1024.3,'Partly cloudy',0,4,50,10,75,17,5,17
2019-03-24T10:00:38,28.8,47.1,1024.5,Sunny,0,6,10,10,0,20,6,20
2019-03-24T11:00:39,29.9,45.9,1024.9,'Partly cloudy',0,7,340,10,75,21,6,21
2019-03-24T12:00:37,31.3,50.6,1024.3,'Partly cloudy',0.1,11,10,10,50,21,6,21
2019-03-24T13:00:37,32.4,48.2,1024.2,'Partly cloudy',0.1,9,10,10,75,25,6,22
2019-03-24T14:00:37,33.6,45.3,1023.8,'Partly cloudy',0.4,9,10,10,75,25,6,22
2019-03-24T15:00:38,34.8,43.6,1023.5,'Partly cloudy',0.4,17,30,10,75,25,6,23
2019-03-24T16:00:38,34.9,44,1023.3,Overcast,0.5,15,30,10,100,25,5,23
2019-03-24T17:00:38,35.5,42.2,1023.4,Overcast,0.5,13,30,10,100,25,5,22
2019-03-24T18:00:38,35,39.6,1023.4,Overcast,0.2,15,30,10,100,25,5,22
2019-03-24T19:00:38,34.4,40.7,1023.9,Overcast,0.2,15,30,10,100,21,5,21
2019-03-24T20:00:38,34.7,42.1,1024.1,Overcast,0.2,15,20,10,100,21,0,21
2019-03-24T21:00:38,34.8,43.2,1024.7,Overcast,0.1,7,10,10,100,20,0,20
2019-03-24T22:00:43,34.1,43,1025,'Partly cloudy',0.1,9,30,10,75,19,0,19
2019-03-24T23:00:37,33.3,43.6,1025.3,Overcast,0.1,7,60,10,100,18,0,18
2019-03-25T00:00:39,32.4,44,1025.8,Overcast,0,2,60,10,100,18,0,18
2019-03-25T01:00:38,31.8,44.5,1025.7,Overcast,0,7,70,10,100,19,0,19
2019-03-25T02:00:37,31.1,45,1025.9,'Partly cloudy',0,7,70,10,75,19,0,19
2019-03-25T03:00:39,30.7,45.1,1025.8,Overcast,0,7,70,10,100,18,0,18
2019-03-25T04:00:47,30.5,45,1025.5,'Partly cloudy',0,4,50,10,75,18,0,18
2019-03-25T05:00:38,29.9,44.8,1025.5,'Partly cloudy',0,6,60,10,50,18,0,18
2019-03-25T06:00:38,29.2,48,1025.9,'Partly cloudy',0,6,70,10,50,18,0,18
2019-03-25T07:00:38,29.6,45.1,1026.4,'Partly cloudy',0,4,60,10,50,17,0,17
2019-03-25T08:00:39,29.2,45.1,1027.2,'Partly cloudy',0,4,110,10,50,17,5,17
2019-03-25T09:00:37,29.7,46.2,1027.6,Sunny,0,0,0,10,0,17,5,17
2019-03-25T10:00:37,31.1,45.6,1027.7,Sunny,0,7,60,10,0,20,6,20
2019-03-25T11:00:37,32.4,44.8,1027.7,'Partly cloudy',0,11,360,10,75,21,6,21
2019-03-25T12:00:38,33.5,43.9,1027.2,'Partly cloudy',0,17,30,10,50,25,6,24
2019-03-25T13:00:38,34.7,42.7,1026.8,Sunny,0,17,20,10,0,25,6,24
2019-03-25T14:00:37,35.5,41.5,1026.6,Sunny,0.1,17,20,10,0,25,6,24
2019-03-25T15:00:38,36.5,39.7,1026.2,Sunny,0.1,19,20,10,0,26,7,25
2019-03-25T16:00:37,37,41.3,1026.1,Sunny,0.1,22,20,10,0,26,7,25
2019-03-25T17:00:44,37.3,40.8,1026,Sunny,0,24,30,10,0,25,6,24
2019-03-25T18:00:38,37.4,40.7,1026.2,Sunny,0,22,10,10,0,25,6,23
2019-03-25T19:00:39,36.5,41.6,1026.5,Sunny,0,20,360,10,0,25,6,22
2019-03-25T20:00:39,36.2,42.6,1026.8,Clear,0,19,10,10,0,21,0,21
2019-03-25T21:00:38,35.4,40,1027.2,Clear,0,13,20,10,0,20,0,20
2019-03-25T22:00:38,34.3,39.5,1027.3,Clear,0,11,30,10,0,19,0,19
2019-03-25T23:00:38,32.8,40.4,1027.5,Clear,0,9,20,10,0,18,0,18
2019-03-26T00:00:38,31.8,41.6,1027.9,Clear,0,9,20,10,0,18,0,18
2019-03-26T01:00:37,31.2,41.3,1028.2,Clear,0,6,10,10,0,18,0,18
2019-03-26T02:00:38,30.3,41.9,1028.3,'Partly cloudy',0,7,350,10,50,19,0,19
2019-03-26T03:00:39,29.9,42.3,1028,Clear,0,2,350,10,0,17,0,17
2019-03-26T04:00:40,29.5,41.9,1027.2,'Partly cloudy',0,6,30,10,75,17,0,17
2019-03-26T05:00:39,29,41.8,1026.8,Clear,0,6,10,10,0,17,0,17
2019-03-26T06:00:38,28.4,42.2,1026.2,Clear,0,2,30,10,0,17,0,17
2019-03-26T08:00:38,28,42.7,1026.7,'Partly cloudy',0,4,330,10,25,17,5,17
2019-03-26T09:00:37,28.6,42.1,1027.1,Sunny,0,4,360,10,0,18,5,18
2019-03-26T10:00:37,29.9,43.1,1027,'Partly cloudy',0,6,340,10,25,20,6,20
2019-03-26T11:00:36,31.3,41.9,1026.7,Sunny,0,17,10,10,0,25,6,23
2019-03-26T12:00:37,32.7,41.3,1025.9,'Partly cloudy',0.1,20,10,10,25,25,6,24
2019-03-26T13:00:36,33.4,41.1,1025.1,'Partly cloudy',0.1,22,20,10,50,25,6,24
2019-03-26T14:00:38,34.4,40,1024.5,'Partly cloudy',0.2,22,20,10,50,25,6,24
2019-03-26T15:00:38,35.5,39.9,1024.1,'Partly cloudy',0.2,28,20,10,25,26,7,25
2019-03-26T16:00:38,36.2,40,1023.8,Sunny,0.2,28,20,10,0,25,6,24
2019-03-26T17:00:40,36.5,40,1023.6,Sunny,0.1,26,20,10,0,25,6,24
2019-03-26T18:00:38,36.6,40.2,1023.8,Sunny,0.1,24,10,10,0,25,6,23
2019-03-26T19:00:38,36.5,47.5,1023.8,Sunny,0,28,10,10,0,25,6,22
2019-03-26T20:00:38,36.5,41.2,1023.9,Clear,0,19,20,10,0,20,0,20
2019-03-26T21:00:38,35.8,41.1,1024.3,'Partly cloudy',0,22,20,10,50,20,0,20
2019-03-26T22:00:37,35.1,40.3,1024.2,'Partly cloudy',0,19,20,10,50,20,0,20
2019-03-26T23:00:37,33.4,40.9,1024.1,Clear,0,13,10,10,0,19,0,19
2019-03-27T00:00:37,32.4,41.4,1023.8,Clear,0,15,360,10,0,20,0,20
2019-03-27T01:00:38,31.5,40,1023.2,'Partly cloudy',0,11,360,10,25,19,0,19
2019-03-27T02:00:38,30.5,40.9,1023,'Partly cloudy',0,11,360,10,50,19,0,19
2019-03-27T03:00:38,29.8,41.2,1022.6,Clear,0,7,360,10,0,17,0,17
2019-03-27T04:00:38,29.6,41.5,1022.2,Clear,0,7,360,10,0,17,0,17
2019-03-27T05:00:38,29,42.9,1021.9,Clear,0,4,30,10,0,17,0,17
2019-03-27T06:00:38,28.6,42.3,1021.4,Clear,0,7,340,10,0,17,0,17
2019-03-27T07:00:38,28.2,42.3,1021.3,'Partly cloudy',0,4,360,10,25,17,0,17
2019-03-27T08:00:37,28.1,43.2,1021.2,Sunny,0,7,10,10,0,17,5,17
2019-03-27T09:00:37,28.4,42.2,1021.2,Sunny,0,9,360,10,0,18,5,18
2019-03-27T10:00:38,29.3,42.9,1021.1,Sunny,0,20,360,10,0,20,6,20
2019-03-27T11:00:37,30.6,42.4,1021,Sunny,0,24,360,10,0,25,6,23
2019-03-27T12:00:38,31.9,41,1020.3,Sunny,0,22,360,10,0,25,6,23
2019-03-27T13:00:38,32.8,40.2,1019.9,Sunny,0,24,10,10,0,26,7,25
2019-03-27T14:00:37,33.5,39.8,1019.2,Sunny,0,24,10,10,0,26,7,25
2019-03-27T15:00:37,34,40,1018.8,'Partly cloudy',0,26,20,10,75,25,6,23
2019-03-27T16:00:38,34.3,40.3,1018.5,'Partly cloudy',0,28,10,10,25,25,6,23
2019-03-27T17:00:37,34.6,40.8,1018.3,'Partly cloudy',0,28,10,10,25,25,6,22
2019-03-27T18:00:38,34.6,41.2,1018,'Partly cloudy',0,22,10,10,50,25,6,22
2019-03-27T19:00:38,35,43.7,1018.2,'Partly cloudy',0,24,10,10,25,25,6,22
2019-03-27T20:00:37,35.1,41.4,1018.5,'Partly cloudy',0.1,22,10,10,75,25,0,22
2019-03-27T21:00:38,34.9,43.1,1019.1,'Light Rain',0,17,350,10,75,21,0,21
2019-03-27T22:00:37,34.7,43.5,1019.2,'Partly cloudy',0,11,350,10,75,21,0,21
2019-03-27T23:00:40,34,43.1,1019.4,Overcast,0,11,350,10,100,21,0,21
2019-03-28T00:00:37,33.3,43.7,1019.2,Rain,0,11,340,10,75,21,0,21
2019-03-28T01:00:37,32.8,44,1019.3,Rain,0.2,11,350,10,100,21,0,21
2019-03-28T02:00:39,32.7,44.2,1019.6,'Light Rain, Rain',0.2,9,320,10,75,20,0,20
2019-03-28T03:00:38,32.3,45.4,1019.6,Rain,0.9,2,360,10,100,18,0,18
2019-03-28T04:00:38,31.9,45.5,1019.2,'Light Rain, Rain',2.3,6,290,10,75,18,0,18
2019-03-28T05:00:38,31.7,45.1,1018.9,'Light Rain, Rain',3.8,4,10,10,100,18,0,18
2019-03-28T06:00:38,31.5,44.8,1019.3,'Light Rain, Rain',5.2,6,50,10,100,18,0,18
2019-03-28T07:00:38,31.2,46.3,1019.5,'Light Rain, Rain',5.2,2,40,10,100,18,0,18
2019-03-28T08:00:38,31.4,45.8,1020,'Heavy Drizzle, Rain',7.5,7,70,6,100,18,4,18
2019-03-28T09:00:38,31.4,45.6,1020.5,Overcast,5.1,4,20,10,100,18,4,18
2019-03-28T10:00:37,31.9,46.7,1021.1,'Partly cloudy',4.4,11,360,10,50,19,5,19
2019-03-28T11:00:37,32.1,45.9,1021.4,'Partly cloudy',4.4,13,340,10,75,19,5,19
2019-03-28T12:00:38,32.5,46.9,1021.6,Drizzle,3,9,350,10,75,20,5,20
2019-03-28T13:00:37,33.2,46.6,1021.5,'Partly cloudy',1.5,11,360,10,75,21,6,21
2019-03-28T14:00:38,33.6,45.2,1021.2,'Partly cloudy',1.6,11,360,10,75,21,6,21
2019-03-28T15:00:37,33.7,45.9,1021.1,'Shower In Vicinity',2.8,15,30,10,100,25,5,22
2019-03-28T16:00:39,33.8,44.9,1021,Drizzle,2.3,19,50,8,75,21,5,21
2019-03-28T17:00:37,33.8,45.2,1021.1,'Shower In Vicinity',1.4,17,40,10,75,25,5,22
